recipe_id,ing_id,ing_name,cat,continent
262601,3686,ketchup,condiment,LAT
262602,20270,white onion,plant,LAT
262602,3717,fresh cilantro,spice,LAT
262602,3686,ketchup,condiment,LAT
262602,5111,lime,plant,LAT
262602,5012,avocado,plant,LAT
263555,3717,fresh cilantro,spice,LAT
263555,20269,red onion,plant,LAT
263555,4342,garlic,spice,LAT
263555,6307,olive oil,condiment,LAT
263555,16406,ground black pepper,spice,LAT
263161,5012,avocado,plant,LAT
263161,4572,tomato,plant,LAT
263161,3725,jalapeno pepper,plant,LAT
263161,4397,onion,plant,LAT
263161,3717,fresh cilantro,spice,LAT
263161,5112,lime juice,plantproduct,LAT
263161,16157,butter,dairy,LAT
263161,6307,olive oil,condiment,LAT
263161,4342,garlic,spice,LAT
263627,5111,lime,plant,LAT
263627,6307,olive oil,condiment,LAT
263627,4657,green chile pepper,plant,LAT
263627,5121,mango,plant,LAT
263627,4405,green onion,spice,LAT
263627,4572,tomato,plant,LAT
263627,3717,fresh cilantro,spice,LAT
263642,6305,vegetable oil,condiment,LAT
263642,1526,white sugar,condiment,LAT
263642,1684,all-purpose flour,grain,LAT
263642,20482,frying oil,condiment,LAT
263642,16258,heavy whipping cream,dairy,LAT
263642,16339,unsalted butter,dairy,LAT
263642,1526,white sugar,condiment,LAT
263642,20303,cinnamon stick,spice,LAT
263642,1526,white sugar,condiment,LAT
263955,6420,canola oil,condiment,LAT
263955,1650,white rice,grain,LAT
263955,4397,onion,plant,LAT
263955,16133,chicken broth,animal,LAT
263955,4582,tomato sauce,plantproduct,LAT
269265,1684,all-purpose flour,grain,LAT
269265,1527,confectioners' sugar,condiment,LAT
269265,1636,cornstarch,plantproduct,LAT
269265,16157,butter,dairy,LAT
269265,1526,white sugar,condiment,LAT
269265,16424,vanilla extract,plantproduct,LAT
269265,1527,confectioners' sugar,condiment,LAT
270587,6305,vegetable oil,condiment,LAT
270587,6494,chicken breast,animal,LAT
270587,4397,onion,plant,LAT
270587,4342,garlic,spice,LAT
270587,16133,chicken broth,animal,LAT
270587,2779,canned black beans,plantproduct,LAT
270587,1650,white rice,grain,LAT
270587,3795,coconut milk,plantproduct,LAT
270587,5592,hot sauce,condiment,LAT
270587,16417,dried thyme,spice,LAT
270587,16406,ground black pepper,spice,LAT
270587,1525,brown sugar,condiment,LAT
270587,16377,ground allspice,spice,LAT
270608,4183,pork shoulder,animal,LAT
270608,7842,white vinegar,condiment,LAT
270608,5111,lime,plant,LAT
270608,4397,onion,plant,LAT
270608,4342,garlic,spice,LAT
270608,20476,chipotle peppers in adobo sauce,plantproduct,LAT
270608,16385,chili powder,spice,LAT
270608,20551,ground cumin,spice,LAT
270608,16406,ground black pepper,spice,LAT
270608,6305,vegetable oil,condiment,LAT
270608,20269,red onion,plant,LAT
270608,5012,avocado,plant,LAT
270608,3717,fresh cilantro,spice,LAT
270608,5111,lime,plant,LAT
272291,20303,cinnamon stick,spice,LAT
272291,1650,white rice,grain,LAT
