_ - _ - recipe_id,_ - _ - ingredients - _ - ing_id,_ - _ - ingredients - _ - ing_name,cat
228443,20194,bean sprouts,plant
228443,5111,lime,plant
228443,5595,hoisin sauce,condiment
228443,12057,Asian chili sauce,condiment
23103,4412,snow pea,plant
23103,4397,onion,plant
23103,20194,bean sprouts,plant
23103,16317,egg,animal
23103,6305,vegetable oil,condiment
23103,2882,soy sauce,condiment
57716,1636,cornstarch,plantproduct
57716,22005,shrimp,animal
57716,6305,vegetable oil,condiment
57716,4342,garlic,spice
57716,4176,ground pork,animal
57716,2882,soy sauce,condiment
57716,1526,white sugar,condiment
57716,1636,cornstarch,plantproduct
57716,16317,egg,animal
68129,20194,bean sprouts,plant
68129,1728,rice noodles,grain
68129,16317,egg,animal
68129,5112,lime juice,plantproduct
68129,3686,ketchup,condiment
68129,1525,brown sugar,condiment
68129,5597,fish sauce,condiment
68129,6304,peanut oil,condiment
68129,4342,garlic,spice
68129,20244,red pepper flakes,spice
68129,4279,carrot,plant
68129,2940,peanuts,grain
68129,4405,green onion,spice
240400,4397,onion,plant
240400,2882,soy sauce,condiment
240400,1525,brown sugar,condiment
240400,4342,garlic,spice
240400,6309,sesame oil,condiment
240400,3752,sesame seed,grain
240400,16407,cayenne pepper,spice
240400,6494,chicken breast,animal
46908,1526,white sugar,condiment
46908,1636,cornstarch,plantproduct
46908,16133,chicken broth,animal
46908,7842,white vinegar,condiment
46908,2882,soy sauce,condiment
46908,6309,sesame oil,condiment
46908,20287,chile paste,condiment
46908,4342,garlic,spice
51039,6305,vegetable oil,condiment
51039,6494,chicken breast,animal
51039,7842,white vinegar,condiment
51039,1526,white sugar,condiment
51039,2882,soy sauce,condiment
51039,20244,red pepper flakes,spice
51039,16396,garlic powder,spice
51039,16397,ground ginger,spice
51039,4378,fresh mushroom,plant
51039,4421,frozen pea,plantproduct
51039,4405,green onion,spice
51039,1636,cornstarch,plantproduct
86602,6305,vegetable oil,condiment
86602,4397,onion,plant
86602,16407,cayenne pepper,spice
86602,16418,ground turmeric,spice
86602,18844,ground coriander,spice
